session_id	original_session_id
ses-20200410+sample+1	ses-20200410_sample_1
ses-20200410+sample+10	ses-20200410_sample_10
ses-20200410+sample+11	ses-20200410_sample_11
ses-20200410+sample+13	ses-20200410_sample_13
ses-20200410+sample+14	ses-20200410_sample_14
ses-20200410+sample+15	ses-20200410_sample_15
ses-20200410+sample+17	ses-20200410_sample_17
ses-20200410+sample+18	ses-20200410_sample_18
ses-20200410+sample+2	ses-20200410_sample_2
ses-20200410+sample+20	ses-20200410_sample_20
ses-20200410+sample+21	ses-20200410_sample_21
ses-20200410+sample+22	ses-20200410_sample_22
ses-20200410+sample+23	ses-20200410_sample_23
ses-20200410+sample+24	ses-20200410_sample_24
ses-20200410+sample+26	ses-20200410_sample_26
ses-20200410+sample+27	ses-20200410_sample_27
ses-20200410+sample+28	ses-20200410_sample_28
ses-20200410+sample+29	ses-20200410_sample_29
ses-20200410+sample+30	ses-20200410_sample_30
ses-20200410+sample+4	ses-20200410_sample_4
ses-20200410+sample+5	ses-20200410_sample_5
ses-20200410+sample+6	ses-20200410_sample_6
ses-20200410+sample+7	ses-20200410_sample_7
ses-20200410+sample+8	ses-20200410_sample_8
